[Epoch 1]	Learning rate: 1.00e-5
[8000/16000]	[L1: 3.1099]	42.0+0.5s
[8800/16000]	[L1: 3.1088]	42.1+0.5s
[9600/16000]	[L1: 3.1110]	42.2+0.5s
[10400/16000]	[L1: 3.1115]	42.3+0.5s
[11200/16000]	[L1: 3.1117]	42.1+0.5s
[12000/16000]	[L1: 3.1113]	42.4+0.5s
[12800/16000]	[L1: 3.1098]	42.5+0.5s
[13600/16000]	[L1: 3.1088]	42.3+0.5s
[14400/16000]	[L1: 3.1070]	42.2+0.5s
[15200/16000]	[L1: 3.1077]	42.2+0.5s
[16000/16000]	[L1: 3.1067]	42.4+0.5s
[Epoch 16]	Learning rate: 3.13e-7
[800/16000]	[L1: 3.1246]	42.3+0.9s
[1600/16000]	[L1: 3.1164]	42.4+0.5s
[2400/16000]	[L1: 3.1148]	42.3+0.5s
[3200/16000]	[L1: 3.1039]	42.1+0.5s
[4000/16000]	[L1: 3.1075]	42.4+0.5s
[4800/16000]	[L1: 3.1092]	42.3+0.5s
[5600/16000]	[L1: 3.1070]	42.3+0.5s
[6400/16000]	[L1: 3.1039]	42.3+0.5s
[7200/16000]	[L1: 3.1070]	42.3+0.5s
[8000/16000]	[L1: 3.1079]	42.5+0.5s
[8800/16000]	[L1: 3.1113]	42.5+0.5s
[9600/16000]	[L1: 3.1092]	42.2+0.5s
[10400/16000]	[L1: 3.1088]	42.3+0.5s
[11200/16000]	[L1: 3.1071]	42.4+0.5s
[12000/16000]	[L1: 3.1072]	41.9+0.5s
[12800/16000]	[L1: 3.1073]	42.4+0.5s
[13600/16000]	[L1: 3.1081]	42.3+0.5s
[14400/16000]	[L1: 3.1076]	42.2+0.5s
[15200/16000]	[L1: 3.1071]	42.3+0.5s
[16000/16000]	[L1: 3.1067]	42.4+0.5s
[Epoch 17]	Learning rate: 3.13e-7
[800/16000]	[L1: 3.0744]	42.3+0.7s
[1600/16000]	[L1: 3.0952]	41.9+0.5s
[2400/16000]	[L1: 3.1038]	42.3+0.5s
[3200/16000]	[L1: 3.1022]	42.0+0.5s
[4000/16000]	[L1: 3.1017]	42.3+0.5s
[4800/16000]	[L1: 3.1012]	42.2+0.5s
[5600/16000]	[L1: 3.1009]	42.3+0.5s
[6400/16000]	[L1: 3.0995]	42.4+0.5s
[7200/16000]	[L1: 3.0994]	42.3+0.5s
[8000/16000]	[L1: 3.1004]	42.4+0.5s
[8800/16000]	[L1: 3.1019]	42.6+0.5s
[9600/16000]	[L1: 3.1027]	42.4+0.5s
[10400/16000]	[L1: 3.1046]	41.8+0.5s
[11200/16000]	[L1: 3.1059]	41.9+0.5s
[12000/16000]	[L1: 3.1078]	42.1+0.5s
[12800/16000]	[L1: 3.1045]	42.4+0.5s
[13600/16000]	[L1: 3.1053]	42.3+0.5s
[14400/16000]	[L1: 3.1058]	42.3+0.5s
[15200/16000]	[L1: 3.1049]	42.5+0.5s
[16000/16000]	[L1: 3.1034]	42.5+0.5s
[Epoch 18]	Learning rate: 3.13e-7
[800/16000]	[L1: 3.0995]	42.5+1.2s
[1600/16000]	[L1: 3.1053]	42.5+0.8s
[2400/16000]	[L1: 3.1093]	42.3+0.5s
[3200/16000]	[L1: 3.1060]	42.1+0.5s
[4000/16000]	[L1: 3.1054]	42.2+0.5s
[4800/16000]	[L1: 3.1061]	42.0+0.5s
[5600/16000]	[L1: 3.1072]	42.1+0.5s
[6400/16000]	[L1: 3.1050]	41.7+0.5s
[7200/16000]	[L1: 3.1059]	41.8+0.5s
[8000/16000]	[L1: 3.1066]	41.8+0.5s
[8800/16000]	[L1: 3.1069]	41.9+0.5s
[9600/16000]	[L1: 3.1062]	42.0+0.5s
[10400/16000]	[L1: 3.1065]	42.0+0.5s
[11200/16000]	[L1: 3.1088]	41.9+0.5s
[12000/16000]	[L1: 3.1095]	42.1+0.5s
[12800/16000]	[L1: 3.1094]	42.0+0.5s
[13600/16000]	[L1: 3.1055]	42.1+0.5s
[14400/16000]	[L1: 3.1046]	42.3+0.5s
[15200/16000]	[L1: 3.1045]	42.0+0.5s
[16000/16000]	[L1: 3.1034]	41.8+0.5s
[Epoch 19]	Learning rate: 1.56e-7
[800/16000]	[L1: 3.0872]	41.9+0.7s
[1600/16000]	[L1: 3.0937]	42.2+0.5s
[2400/16000]	[L1: 3.1036]	42.2+0.5s
[3200/16000]	[L1: 3.1037]	42.2+0.5s
[4000/16000]	[L1: 3.1037]	42.4+0.5s
[4800/16000]	[L1: 3.1067]	42.5+0.5s
[5600/16000]	[L1: 3.1040]	41.8+0.5s
[6400/16000]	[L1: 3.1060]	42.3+0.5s
[7200/16000]	[L1: 3.1006]	42.2+0.5s
[8000/16000]	[L1: 3.0985]	42.2+0.6s
[8800/16000]	[L1: 3.0990]	42.3+0.5s
[9600/16000]	[L1: 3.1001]	42.3+0.5s
[10400/16000]	[L1: 3.1007]	42.1+0.5s
[11200/16000]	[L1: 3.1001]	42.5+0.5s
[12000/16000]	[L1: 3.1024]	42.3+0.5s
[12800/16000]	[L1: 3.1012]	42.2+0.5s
[13600/16000]	[L1: 3.1016]	42.2+0.5s
[14400/16000]	[L1: 3.1002]	42.3+0.5s
[15200/16000]	[L1: 3.1017]	42.4+0.5s
[16000/16000]	[L1: 3.1023]	42.1+0.5s
[Epoch 20]	Learning rate: 1.56e-7
[800/16000]	[L1: 3.1002]	41.8+0.7s
[1600/16000]	[L1: 3.1105]	42.2+0.5s
[2400/16000]	[L1: 3.0918]	42.2+0.5s
[3200/16000]	[L1: 3.1019]	42.3+0.5s
[4000/16000]	[L1: 3.1032]	42.4+0.5s
[4800/16000]	[L1: 3.1035]	42.3+0.5s
[5600/16000]	[L1: 3.0999]	42.2+0.5s
[6400/16000]	[L1: 3.0998]	42.2+0.5s
[7200/16000]	[L1: 3.0995]	42.2+0.5s
[8000/16000]	[L1: 3.1000]	42.4+0.5s
[8800/16000]	[L1: 3.1034]	42.1+0.5s
[9600/16000]	[L1: 3.1025]	42.0+0.5s
[10400/16000]	[L1: 3.1048]	42.0+0.5s
[11200/16000]	[L1: 3.1035]	42.3+0.5s
[12000/16000]	[L1: 3.1046]	42.0+0.5s
[12800/16000]	[L1: 3.1052]	42.3+0.5s
[13600/16000]	[L1: 3.1050]	42.1+0.5s
[14400/16000]	[L1: 3.1066]	42.1+0.5s
[15200/16000]	[L1: 3.1043]	42.4+0.5s
[16000/16000]	[L1: 3.1051]	42.2+0.5s
[Epoch 21]	Learning rate: 1.56e-7
[800/16000]	[L1: 3.1061]	41.8+0.7s
[1600/16000]	[L1: 3.1046]	42.3+0.5s
[2400/16000]	[L1: 3.1109]	42.2+0.5s
[3200/16000]	[L1: 3.1081]	42.2+0.5s
[4000/16000]	[L1: 3.1083]	42.1+0.5s
[4800/16000]	[L1: 3.1087]	42.4+0.5s
[5600/16000]	[L1: 3.1059]	42.2+0.5s
[6400/16000]	[L1: 3.1067]	42.3+0.5s
[7200/16000]	[L1: 3.1069]	42.2+0.5s
[8000/16000]	[L1: 3.1084]	42.4+0.5s
[8800/16000]	[L1: 3.1058]	42.3+0.5s
[9600/16000]	[L1: 3.1041]	42.2+0.5s
[10400/16000]	[L1: 3.1018]	42.2+0.5s
[11200/16000]	[L1: 3.1014]	42.5+0.5s
[12000/16000]	[L1: 3.1022]	42.1+0.5s
[12800/16000]	[L1: 3.1018]	42.4+0.5s
[13600/16000]	[L1: 3.1018]	42.2+0.5s
[14400/16000]	[L1: 3.1012]	42.2+0.5s
[15200/16000]	[L1: 3.1026]	42.0+0.5s
[16000/16000]	[L1: 3.1026]	41.8+0.5s
[Epoch 22]	Learning rate: 7.81e-8
[800/16000]	[L1: 3.0956]	42.4+0.7s
[1600/16000]	[L1: 3.0895]	42.4+0.5s
[2400/16000]	[L1: 3.0965]	41.5+0.5s
[3200/16000]	[L1: 3.1042]	42.0+0.5s
[4000/16000]	[L1: 3.1071]	42.0+0.5s
[4800/16000]	[L1: 3.1026]	41.9+0.5s
[5600/16000]	[L1: 3.1010]	41.9+0.5s
[6400/16000]	[L1: 3.1018]	41.7+0.5s
[7200/16000]	[L1: 3.1023]	41.4+0.5s
[8000/16000]	[L1: 3.1007]	42.0+0.5s
[8800/16000]	[L1: 3.1012]	42.2+0.5s
[9600/16000]	[L1: 3.0990]	42.5+0.5s
[10400/16000]	[L1: 3.0987]	42.4+0.5s
[11200/16000]	[L1: 3.0987]	42.2+0.5s
[12000/16000]	[L1: 3.0990]	42.3+0.5s
[12800/16000]	[L1: 3.1009]	42.2+0.5s
[13600/16000]	[L1: 3.1038]	42.1+0.5s
[14400/16000]	[L1: 3.1034]	42.2+0.5s
[15200/16000]	[L1: 3.1005]	42.0+0.5s
[16000/16000]	[L1: 3.1012]	42.3+0.5s
[Epoch 23]	Learning rate: 7.81e-8
[800/16000]	[L1: 3.1501]	42.1+0.7s
[1600/16000]	[L1: 3.1270]	42.1+0.5s
[2400/16000]	[L1: 3.1017]	41.8+0.5s
[3200/16000]	[L1: 3.1057]	42.3+0.5s
[4000/16000]	[L1: 3.0975]	42.1+0.5s
[4800/16000]	[L1: 3.0926]	42.3+0.5s
[5600/16000]	[L1: 3.0909]	42.4+0.5s
[6400/16000]	[L1: 3.0899]	42.2+0.5s
[7200/16000]	[L1: 3.0942]	42.5+0.5s
[8000/16000]	[L1: 3.0948]	42.6+0.5s
[8800/16000]	[L1: 3.0957]	42.4+0.5s
[9600/16000]	[L1: 3.0994]	42.5+0.5s
[10400/16000]	[L1: 3.1001]	42.3+0.5s
[11200/16000]	[L1: 3.1022]	42.3+0.5s
[12000/16000]	[L1: 3.1024]	42.5+0.5s
[12800/16000]	[L1: 3.1026]	41.9+0.5s
[13600/16000]	[L1: 3.1006]	41.9+0.5s
[14400/16000]	[L1: 3.1017]	41.9+0.5s
[15200/16000]	[L1: 3.1019]	42.4+0.5s
[16000/16000]	[L1: 3.1033]	42.4+0.5s
[Epoch 24]	Learning rate: 7.81e-8
[800/16000]	[L1: 3.1285]	42.4+0.7s
